Name,Year,Industries,Social Links
Conveo,2024,['AI\nSoftware'],['https://www.conveo.ai/']
Four Times One,2024,['Creative-Sector\nLifestyle\nE-commerce\nFashion'],[]
eMindBrowser,2024,['AI\nHealth\nAnalytics'],['https://www.emindbrowser.com']
Boostifai,2024,['Software\nE-commerce\nMarketing'],"['https://www.facebook.com/boostifai', 'https://www.linkedin.com/in/bert-vissers-3496794/', 'https://www.twitter.com//', 'https://Boostifai.com']"
ClubCubby,2024,['IOT/Drones/Hardware\nSoftware\nEvents\nGovtech\nHoreca\nHardware'],"['https://www.facebook.com/profile.php?id=61556767127665', '/', 'https://www.twitter.com//', 'https://club-cubby.com/']"
Und uli,2024,['Fashion'],"['-', '-', 'https://www.twitter.com/-', 'https://und-uli.com']"
ELVAT,2024,['Food&Beverage'],"['https://www.linkedin.com/company/elvatworld', 'https://www.twitter.com/elvatworld', 'https://elvat.io/']"
BEON,2024,['Creative-Sector\nSoftware'],[]
BlendUp,2024,['Food&Beverage\nE-commerce\nMarketing'],"['https://www.facebook.com/BlendUpMoment', 'https://www.linkedin.com/company/blendupmoment/', 'https://www.twitter.com/-', 'https://Www.blend-up.be']"
Done-it International,2024,['Health\nSoftware\nEnterprise-Software\nGovtech\nAgriculture\nProcess-Optimization\nConstruction'],"['-', '-', 'https://www.twitter.com/-', 'https://www.done-it.app']"
Klar,2024,['Health\nLifestyle'],['https://www.klarearplugs.com']
AILOS,2024,['Hardware'],['https://ailos-robotics.com']
Levacells,2024,['AI\nHealth'],"['-', '-', 'https://www.twitter.com/-', 'https://levacells.com']"
Your-Tickets BV,2024,['Software\nEvents\nICT\nHardware'],"['https://www.linkedin.com/company/your-tickets-be', 'https://www.your-tickets.be']"
Powernaut,2024,['AI\nAnalytics\nSoftware\nEnterprise-Software\nEnergy\nSustainability\nData'],"['N/A', 'https://www.linkedin.com/company/powernaut/', 'https://www.twitter.com/N/A', 'https://powernaut.io']"
eConnection,2024,['Energy'],"['https://www.linkedin.com/company/econnection-belgium', 'https://econnection.be']"
on-kruid,2024,['Food&Beverage\nSocial-Entrepreneurship\nE-commerce\nAgriculture\nSustainability'],['https://on-kruid.be']
Eco Tire Solutions,2024,['Health\nHardware'],"['https://www.facebook.com/profile.php?id=100085855495162', 'https://www.linkedin.com/company/ecotiresolutions/', 'https://www.twitter.com/-', 'https://ecotiresolutions.be']"
RESULTX,2024,['Software\nSustainability'],"['-', 'https://www.linkedin.com/company/resultxai/', 'https://www.twitter.com/-', 'https://resultx.ai']"
Accelerate.ai,2024,['AI\nProcess-Optimization\nData\nBusiness-Intelligence'],['https://www.accelerate.ai']
MISMAS,2024,['Sports\nE-commerce\nFashion'],"['https://www.facebook.com/mismasbelgium/', 'https://www.linkedin.com/company/31425346/admin/feed/posts/', 'https://www.twitter.com/-', 'https://www.mismas.be']"
